Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Pierre Lees-Melou,MF,1.5201710576285374,-0.19755856257952342,-0.16604544844852315,0.6137085668773747,-0.023887812930128555,-0.300251708848013,1.951791588625916,France,30.0,5.0,0.6495000000000001,4.431039532606846,3.9296330716150325
Aboubacar Ali,"MF,FW",-1.1141867541638286,-0.42522158635742685,-0.057137720132360556,-0.4977535408942356,-0.44801928026338284,1.3585557170763438,1.1806263736263738,France,17.0,5.0,0.6495000000000001,2.629782142857143,3.9320803259973967
Dion Moise Sahi,"MF,FW",-0.5645804742004443,-0.42522158635742685,-0.14908192699924847,-0.2828795906502365,0.854670226545898,0.03631791380330578,1.2023794358507731,France,21.0,5.0,0.6495000000000001,3.0439216333030026,3.9336844106960394
Ibrahim Salah,"FW,MF",-0.6793576892931992,-0.29064245900103075,0.15756759586363914,-0.2639758946323436,1.64234295159337,0.10843997580001695,1.4260015793629903,France,21.0,5.0,0.6495000000000001,3.189276026585944,3.9344592197929145
Noah Okafor,"FW,MF",-0.2787410635367565,-0.33980688768173445,0.31498844800568016,-0.62560892744111,1.399982113117225,0.1805620377967281,1.1755135686060147,Italy,23.0,2.0,0.87481,3.2827863195939098,3.9370404184538987
Mattéo Guendouzi,MF,1.3546269973986025,-0.27929960479418636,-0.19809569099418223,0.06620653278622413,-0.20565844178723755,-0.03580414819340541,1.470657794676806,France,24.0,5.0,0.6495000000000001,3.518302566539925,3.9371593518901893
Mattéo Guendouzi,MF,1.3546269973986025,-0.27929960479418636,-0.19809569099418223,0.06620653278622413,-0.20565844178723755,-0.03580414819340541,1.470657794676806,Italy,24.0,2.0,0.87481,3.574630066539924,3.9371593518901893
Lucas Ocampos,"FW,MF",1.910855039771184,-0.047992214222074184,0.626766960761433,-0.08068611455844399,-0.054182917739646744,-0.08388552285787954,1.7766771159874608,Spain,29.0,3.0,0.8173900000000001,4.25918762539185,3.939924384572257
Jordi Mboula,"FW,MF",-0.9188447630925052,-0.2721708140697608,0.3102994766304879,-0.7060966044084771,-0.44801928026338284,0.3969282237868615,1.084317493772753,Italy,24.0,2.0,0.87481,3.32350887095229,3.940091237716217
Takuma Asano,"FW,MF",0.9341450844145675,-0.21036184833820334,0.14098509744688023,-0.6421589601971517,0.36994854959360757,-0.18004827218682773,1.0296283304397753,Germany,28.0,4.0,0.78425,3.6653209147858554,3.943513576452819
Álex Fernández,MF,0.16050250960667115,-0.24782182756945018,-0.6188202290079016,-0.1371615654840771,-0.44801928026338284,-0.13196689752235363,1.0853084541917228,Spain,30.0,3.0,0.8173900000000001,3.90979799522462,3.9443971353222467
Ruslan Malinovskyi,MF,0.44634192027035896,-0.4932935868225807,-0.3486029677538727,0.13840510981069673,0.24876813035553488,-0.1560075848545907,1.4163163031690569,Italy,30.0,2.0,0.87481,4.139308097059887,3.9445518112365363
Paulo Azzi,"DF,MF",-0.20921255824018375,-0.30249219348524176,0.9642162453285307,-0.21232436423566461,-0.44801928026338284,-0.300251708848013,1.723495531281033,Italy,29.0,2.0,0.87481,4.238974595332672,3.9445715093668623
Joel Asoro,"FW,MF",-0.32178251919653955,-0.3006643089105497,-0.3112496172862561,-0.5850296098947199,0.1881779207364985,-0.03580414819340541,0.8610052187876356,France,24.0,5.0,0.6495000000000001,3.122028392211964,3.9448115738269776
Koke,MF,1.493684007991748,-0.22092366919726605,-0.5465083762766793,0.7870481701689122,-0.44801928026338284,0.03631791380330578,1.948137184115524,Spain,31.0,3.0,0.8173900000000001,4.570636669675091,3.949866421098545
Jesurun Rak Sakyi,"MF,FW",-1.107564991754631,0.13851542490214322,1.041481248940851,-0.6713320107826227,-0.44801928026338284,-0.300251708848013,1.457843137254902,England,20.0,1.0,0.99232,3.1956780392156867,3.9506332094531764
Denis Genreau,"MF,FW",-0.7455753133851732,-0.024934951143531205,-0.4497064711365402,-0.3506243532302208,-0.44801928026338284,-0.300251708848013,1.006631299734748,France,24.0,5.0,0.6495000000000001,3.2166853448275865,3.9507352494979426
Valery Fernández,"MF,FW",-0.6992229765207915,-0.2626051408017816,0.5793045681731575,-0.4845140336300216,0.6426044928792709,-0.300251708848013,1.352911349520045,Spain,23.0,3.0,0.8173900000000001,3.3837398771880296,3.952159554263963
Jordan Ayew,"FW,MF",1.5488653614017263,-0.2712243870326463,0.17588978445390926,-0.46256594872653534,-0.023887812930128555,0.30076547445791335,1.2353992474318054,England,31.0,1.0,0.99232,4.151089510830674,3.953969164034214
