Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Reda Belahyane,MF,0.02696152681005756,0.0,0.022222222222222223,0.044444444444444446,0.0,0.0,1.0,Italy,19.0,2.0,0.87481,2.7687025000000003,0.563395555295959
Lewis Ferguson,MF,0.8212662829445622,0.10631229235880396,0.0420353982300885,0.05235988200589971,0.03333333333333333,0.008888888888888889,1.5834210448945991,Italy,23.0,2.0,0.87481,3.5479261791814896,0.5634257290463103
Javier Muñoz,MF,0.7994547106937291,0.08191126279863481,0.025,0.04621212121212121,0.011666666666666667,0.008888888888888889,1.2576407074154514,Spain,28.0,3.0,0.8173900000000001,3.821813959820044,0.5638363194462975
Damion Downs,"FW,MF",0.0545289306270827,0.0,0.011049723756906079,0.0,0.16499999999999998,0.0,0.1984475138121547,Germany,19.0,4.0,0.78425,2.2250533839779005,0.563926465013234
Eric Curbelo,"DF,MF",0.030596788851863073,0.0,0.0,0.0392156862745098,0.0,0.0,0.7058823529411765,Spain,29.0,3.0,0.8173900000000001,3.563171029411765,0.5642497105040202
Nicolas Haas,MF,0.02696152681005756,0.0,0.0,0.06666666666666667,0.0,0.0,1.2000000000000002,Italy,27.0,2.0,0.87481,3.6987025,0.5645981400522115
Pedro Chirivella,MF,0.7855195395334746,0.06597222222222222,0.007710100231303006,0.07401696222050887,0.004999999999999999,0.0026666666666666666,1.545640666495331,France,26.0,5.0,0.6495000000000001,3.767041433221965,0.5650322485388206
Davide Bartesaghi,"DF,MF",0.02362920327173584,0.0,0.025316455696202535,0.0379746835443038,0.0,0.0,0.9113924050632912,Italy,17.0,2.0,0.87481,2.5111075632911395,0.5657056465622354
Leander Dendoncker,MF,0.03574674341108755,0.0,0.0,0.025210084033613446,0.12666666666666665,0.0,0.529781512605042,England,28.0,1.0,0.99232,3.3924379831932776,0.566000761267784
Leander Dendoncker,MF,0.03574674341108755,0.0,0.0,0.025210084033613446,0.12666666666666665,0.0,0.529781512605042,Italy,28.0,2.0,0.87481,3.3630604831932773,0.566000761267784
Leandro Barreiro Martins,MF,0.7891548015752802,0.06896551724137932,0.01688411358403684,0.03568687643898696,0.023333333333333334,0.0026666666666666666,0.9552518326408554,Germany,23.0,4.0,0.78425,3.116976191216557,0.5660653322434974
Henrikh Mkhitaryan,MF,0.8433807936988791,0.12944983818770228,0.06606822262118492,0.06894075403949732,0.009999999999999998,0.023111111111111114,2.1784472526770204,Italy,34.0,2.0,0.87481,5.034693214240064,0.5665840791039034
Stredair Appuah,"FW,MF",0.025143895789154803,0.0,0.07142857142857144,0.0,0.0,0.0,0.6428571428571429,France,19.0,5.0,0.6495000000000001,2.480232142857143,0.5672747897105421
Saïmon Bouabré,MF,0.013329294153286883,0.0,0.08888888888888889,0.06666666666666667,0.0,0.0,2.0,France,17.0,5.0,0.6495000000000001,3.162375,0.5679024242750255
Omenuke Mfulu,"MF,FW",0.024538018782187216,0.0,0.02439024390243903,0.012195121951219514,0.0,0.0,0.4390243902439025,Spain,29.0,3.0,0.8173900000000001,3.389713353658537,0.5682299656621431
Elayis Tavsan,"MF,FW",0.014843986670705847,0.0,0.08,0.04,0.0,0.0,1.44,Italy,22.0,2.0,0.87481,3.3547025,0.5686015031371199
Pablo Gozalbez,"MF,FW",0.030899727355346865,0.0,0.0,0.0,0.0,0.0,0.0,Spain,22.0,3.0,0.8173900000000001,2.4043475,0.5690032488093928
