Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore
Fodé Ballo-Touré,"DF,MF",71.0,0.0,6.338028169014085,0.0,0.0,0.0,1.267605633802817,England,26,1,0.99232,3.6720236619718314
Florian Dietz,"FW,MF",70.0,2.5,0.0,0.0,0.0,0.0,0.5,Germany,24,4,0.78425,2.9210625000000006
Abde Ezzalzouli,"FW,MF",68.0,2.5,9.264705882352942,1.3235294117647058,0.0,0.0,2.61764705882353,Spain,21,3,0.8173900000000001,4.005818088235294
Abde Ezzalzouli,"FW,MF",68.0,2.5,9.264705882352942,1.3235294117647058,0.0,0.0,2.61764705882353,Spain,21,3,0.8173900000000001,4.005818088235294
Miguel,"FW,MF",65.0,0.0,1.3846153846153846,0.0,0.0,0.0,0.2769230769230769,Spain,23,3,0.8173900000000001,2.6843475000000003
Dennis Geiger,MF,64.0,1.4285714285714286,1.40625,4.21875,0.0,0.0,1.4107142857142858,Germany,25,4,0.78425,3.6130267857142857
Ayanda Sishuba,"MF,FW",62.0,1.4285714285714286,10.161290322580646,1.4516129032258065,0.0,0.0,2.6082949308755765,France,18,5,0.6495000000000001,3.6577667050691245
Sebastian Rode,MF,61.0,1.4285714285714286,4.426229508196721,16.229508196721312,0.0,0.0,4.416861826697892,Germany,32,4,0.78425,6.267022687353631
Aïman Maurer,"MF,FW",56.0,0.0,1.6071428571428572,3.2142857142857144,0.0,0.0,0.9642857142857144,France,18,5,0.6495000000000001,2.5891607142857147
Adrien Lebeau,"MF,FW",54.0,6.666666666666667,1.6666666666666667,0.0,0.0,1.67,2.167666666666667,France,24,5,0.6495000000000001,3.9713583333333338
Anwar El Ghazi,"MF,DF",54.0,3.333333333333333,3.333333333333333,6.666666666666667,0.0,1.67,3.1676666666666664,Germany,28,4,0.78425,5.055045833333334
Irvin Cardona,"MF,DF",54.0,0.0,5.0,3.333333333333333,0.0,0.0,1.6666666666666667,Germany,25,4,0.78425,3.7793958333333335
Ole Pohlmann,MF,54.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,Germany,22,4,0.78425,2.612729166666667
Paul Pogba,MF,54.0,1.6666666666666667,1.6666666666666667,8.333333333333334,0.0,0.0,2.333333333333334,Italy,30,2,0.87481,4.735369166666667
Álvaro Negredo,"FW,MF",54.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,Spain,37,3,0.8173900000000001,4.121014166666667
Sergio Gómez,"FW,MF",53.0,1.6666666666666667,6.792452830188679,3.3962264150943398,0.0,1.7,2.881069182389937,England,22,1,0.99232,4.32077496855346
Valentin Rosier,"DF,MF",53.0,3.333333333333333,5.09433962264151,8.49056603773585,0.0,0.0,3.383647798742139,France,26,5,0.6495000000000001,4.96174606918239
Dylan Bronn,"DF,MF",52.0,0.0,1.7307692307692308,1.7307692307692308,0.0,0.0,0.6923076923076924,Italy,28,2,0.87481,3.4687025000000005
Riccardo Pagano,"MF,DF",51.0,1.6666666666666667,1.7647058823529411,5.294117647058823,0.0,0.0,1.7450980392156863,Italy,18,2,0.87481,3.1530162254901963
Elayis Tavsan,"MF,FW",50.0,0.0,3.6,3.6,0.0,0.0,1.44,Italy,22,2,0.87481,3.3547025
Grant Ranos,"MF,FW",49.0,0.0,0.0,5.510204081632653,0.0,0.0,1.1020408163265307,Germany,20,4,0.78425,2.9123890306122453
Bambasé Conté,"MF,FW",48.0,2.0,5.625,3.75,0.0,0.0,2.275,Germany,20,4,0.78425,3.6748125
Darko Brašanac,MF,48.0,2.0,3.75,1.875,0.0,0.0,1.525,Spain,31,3,0.8173900000000001,4.2955974999999995
Ethan Mbappé,"MF,DF",48.0,0.0,1.875,1.875,0.0,0.0,0.75,France,16,5,0.6495000000000001,2.2498750000000003
Christopher Lenz,"DF,MF",47.0,2.0,1.9148936170212765,3.829787234042553,0.0,0.0,1.548936170212766,Germany,28,4,0.78425,4.002871010638298
Christopher Lenz,"DF,MF",47.0,2.0,1.9148936170212765,3.829787234042553,0.0,0.0,1.548936170212766,Germany,28,4,0.78425,4.002871010638298
Gustavo Puerta,"DF,MF",46.0,2.0,1.956521739130435,15.65217391304348,0.0,0.0,3.921739130434783,Germany,20,4,0.78425,4.745192934782609
Stefano Sensi,MF,46.0,6.0,5.869565217391305,5.869565217391305,0.0,1.96,4.135826086956522,Italy,27,2,0.87481,5.60698945652174
